t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1545119321,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119321,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119322,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119322,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119323,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119323,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119324,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119324,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119325,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119325,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119326,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119326,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119327,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119327,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119328,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119328,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119329,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119329,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119330,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119330,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119331,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119331,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119332,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119332,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119333,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119333,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119334,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119334,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119335,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119335,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119336,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119336,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119337,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119337,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119338,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119338,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119339,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119339,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119340,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119340,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119341,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119341,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119342,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119342,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119343,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119343,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119344,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119344,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119345,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119345,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119346,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119346,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119347,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119347,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119348,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119348,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119349,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119349,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119350,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119350,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119351,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119351,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119352,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119352,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119353,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119353,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119371,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119372,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119373,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119374,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119374,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119375,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119375,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119376,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119376,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119377,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119377,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119378,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119378,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119379,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119379,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119380,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119380,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119381,0,0.000000,0.000000,0.000000,0.000000,events/second
